id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
66,1,1,1,https://keyan.sdju.edu.cn,keyan.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ç§__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
110,1,1,1,http://keyan.sdju.edu.cn,keyan.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ç§__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
59,1,1,1,http://lib.sdju.edu.cn,lib.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_¾ä¹¦é¦,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
70,1,1,1,https://lib.sdju.edu.cn,lib.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_¾ä¹¦é¦,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
30,1,1,1,http://libin.sdju.edu.cn,libin.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¸_µ·_µæ_____å¸__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
118,1,1,1,https://libin.sdju.edu.cn,libin.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¸_µ·_µæ_____å¸__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
4,1,1,1,http://mail.sdju.edu.cn,mail.sdju.edu.cn,1,webeduv6.qiye.ntes53.netease.com,223.252.202.5,1,1,80,200,,ä¸_µ·_µæ_å­¦é_ - __¨æ__»å_,nginx,223.252.202.0/23,AS45062,Guangzhou NetEase Computer System Co. Ltd,ä¸_æµ_____å·__,_µä¿¡,QuerySOA
5,1,1,1,https://mail.sdju.edu.cn,mail.sdju.edu.cn,1,webeduv6.qiye.ntes53.netease.com,223.252.202.5,1,1,443,200,,ä¸_µ·_µæ_å­¦é_ - __¨æ__»å_,nginx,223.252.202.0/23,AS45062,Guangzhou NetEase Computer System Co. Ltd,ä¸_æµ_____å·__,_µä¿¡,QuerySOA
53,1,1,1,https://mks.sdju.edu.cn,mks.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,é©___¸»ä¹__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
98,1,1,1,http://mks.sdju.edu.cn,mks.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,é©___¸»ä¹__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
