http://www.sdju.edu.cn ('None', 'Server', 200, '上海电机学院')
http://chengjiao.sdju.edu.cn ('None', 'Server', 200, '继续教育学院')
http://jwc.sdju.edu.cn ('None', 'Server', 200, '教务处')
https://sjc.sdju.edu.cn ('None', 'Server', 200, '审计处')
http://zuzhi.sdju.edu.cn ('None', 'Server', 200, '党委组织部')
http://jixie.sdju.edu.cn ('None', 'Server', 200, '机械学院')
https://yjs.sdju.edu.cn ('None', 'Server', 200, '研究生处')
https://jixie.sdju.edu.cn ('None', 'Server', 200, '机械学院')
https://sports.sdju.edu.cn ('None', 'Server', 200, '体育教学部')
https://xsc.sdju.edu.cn ('None', 'Server', 200, '党委学生工作部')
http://jsfzzx.sdju.edu.cn ('None', 'Server', 200, 'None')
https://mks.sdju.edu.cn ('None', 'Server', 200, '马克思主义学院')
http://sports.sdju.edu.cn ('None', 'Server', 200, '体育教学部')
http://zwgk.sdju.edu.cn ('None', 'Server', 200, '信息公开网')
